"","X1","X2","Y","predY100","predY25","predY50","predY200","predY400","predY800","predY1600","predY3200"
"112",0,0,0,2,2,2,2,1,1,1,1
"28",1,0,1,2,2,2,2,2,2,2,2
"44",1,1,0,0,2,0,0,0,0,0,0
"314",0,1,2,0,0,0,0,0,0,0,0
"315",0,1,0,0,0,0,0,0,0,0,0
"63",1,2,0,2,2,2,2,2,2,2,2
"113",0,0,0,2,2,2,2,1,1,1,1
"316",0,1,0,0,0,0,0,0,0,0,0
"317",0,1,0,0,0,0,0,0,0,0,0
"54",0,2,2,2,2,2,2,2,2,2,2
"318",0,1,0,0,0,0,0,0,0,0,0
"319",0,1,0,0,0,0,0,0,0,0,0
"114",0,0,0,2,2,2,2,1,1,1,1
"45",1,1,1,0,2,0,0,0,0,0,0
"115",0,0,1,2,2,2,2,1,1,1,1
"46",1,1,0,0,2,0,0,0,0,0,0
"116",0,0,2,2,2,2,2,1,1,1,1
"320",0,1,0,0,0,0,0,0,0,0,0
"55",0,2,2,2,2,2,2,2,2,2,2
"321",0,1,1,0,0,0,0,0,0,0,0
"47",1,1,0,0,2,0,0,0,0,0,0
"117",0,0,0,2,2,2,2,1,1,1,1
"29",1,0,2,2,2,2,2,2,2,2,2
"118",0,0,1,2,2,2,2,1,1,1,1
"119",0,0,0,2,2,2,2,1,1,1,1
"120",0,0,2,2,2,2,2,1,1,1,1
"322",0,1,0,0,0,0,0,0,0,0,0
"323",0,1,2,0,0,0,0,0,0,0,0
"56",0,2,2,2,2,2,2,2,2,2,2
"324",0,1,0,0,0,0,0,0,0,0,0
"64",1,2,0,2,2,2,2,2,2,2,2
"121",0,0,2,2,2,2,2,1,1,1,1
"210",1,0,1,2,2,2,2,2,2,2,2
"57",0,2,1,2,2,2,2,2,2,2,2
"48",1,1,1,0,2,0,0,0,0,0,0
"325",0,1,0,0,0,0,0,0,0,0,0
"49",1,1,1,0,2,0,0,0,0,0,0
"410",1,1,0,0,2,0,0,0,0,0,0
"122",0,0,1,2,2,2,2,1,1,1,1
"123",0,0,1,2,2,2,2,1,1,1,1
"211",1,0,2,2,2,2,2,2,2,2,2
"411",1,1,0,0,2,0,0,0,0,0,0
"326",0,1,2,0,0,0,0,0,0,0,0
"327",0,1,2,0,0,0,0,0,0,0,0
"412",1,1,0,0,2,0,0,0,0,0,0
"124",0,0,2,2,2,2,2,1,1,1,1
"212",1,0,2,2,2,2,2,2,2,2,2
"328",0,1,0,0,0,0,0,0,0,0,0
"329",0,1,0,0,0,0,0,0,0,0,0
"125",0,0,1,2,2,2,2,1,1,1,1
"213",1,0,0,2,2,2,2,2,2,2,2
"214",1,0,2,2,2,2,2,2,2,2,2
"413",1,1,0,0,2,0,0,0,0,0,0
"126",0,0,1,2,2,2,2,1,1,1,1
"58",0,2,2,2,2,2,2,2,2,2,2
"330",0,1,1,0,0,0,0,0,0,0,0
"59",0,2,2,2,2,2,2,2,2,2,2
"215",1,0,2,2,2,2,2,2,2,2,2
"127",0,0,1,2,2,2,2,1,1,1,1
"414",1,1,0,0,2,0,0,0,0,0,0
"128",0,0,1,2,2,2,2,1,1,1,1
"129",0,0,1,2,2,2,2,1,1,1,1
"415",1,1,0,0,2,0,0,0,0,0,0
"130",0,0,1,2,2,2,2,1,1,1,1
"510",0,2,2,2,2,2,2,2,2,2,2
"511",0,2,2,2,2,2,2,2,2,2,2
"331",0,1,2,0,0,0,0,0,0,0,0
"332",0,1,2,0,0,0,0,0,0,0,0
"131",0,0,0,2,2,2,2,1,1,1,1
"216",1,0,1,2,2,2,2,2,2,2,2
"333",0,1,0,0,0,0,0,0,0,0,0
"217",1,0,2,2,2,2,2,2,2,2,2
"334",0,1,2,0,0,0,0,0,0,0,0
"218",1,0,2,2,2,2,2,2,2,2,2
"335",0,1,0,0,0,0,0,0,0,0,0
"132",0,0,1,2,2,2,2,1,1,1,1
"416",1,1,0,0,2,0,0,0,0,0,0
"133",0,0,1,2,2,2,2,1,1,1,1
"417",1,1,0,0,2,0,0,0,0,0,0
"336",0,1,0,0,0,0,0,0,0,0,0
"65",1,2,0,2,2,2,2,2,2,2,2
"337",0,1,2,0,0,0,0,0,0,0,0
"219",1,0,2,2,2,2,2,2,2,2,2
"338",0,1,0,0,0,0,0,0,0,0,0
"339",0,1,2,0,0,0,0,0,0,0,0
"418",1,1,0,0,2,0,0,0,0,0,0
"134",0,0,1,2,2,2,2,1,1,1,1
"340",0,1,1,0,0,0,0,0,0,0,0
"512",0,2,2,2,2,2,2,2,2,2,2
"513",0,2,2,2,2,2,2,2,2,2,2
"135",0,0,0,2,2,2,2,1,1,1,1
"136",0,0,1,2,2,2,2,1,1,1,1
"66",1,2,0,2,2,2,2,2,2,2,2
"419",1,1,0,0,2,0,0,0,0,0,0
"341",0,1,0,0,0,0,0,0,0,0,0
"220",1,0,2,2,2,2,2,2,2,2,2
"342",0,1,2,0,0,0,0,0,0,0,0
"137",0,0,1,2,2,2,2,1,1,1,1
"221",1,0,2,2,2,2,2,2,2,2,2
"222",1,0,2,2,2,2,2,2,2,2,2
"343",0,1,0,0,0,0,0,0,0,0,0
"514",0,2,2,2,2,2,2,2,2,2,2
"515",0,2,2,2,2,2,2,2,2,2,2
"138",0,0,0,2,2,2,2,1,1,1,1
"516",0,2,2,2,2,2,2,2,2,2,2
"139",0,0,0,2,2,2,2,1,1,1,1
"140",0,0,1,2,2,2,2,1,1,1,1
"344",0,1,2,0,0,0,0,0,0,0,0
"223",1,0,0,2,2,2,2,2,2,2,2
"141",0,0,1,2,2,2,2,1,1,1,1
"224",1,0,0,2,2,2,2,2,2,2,2
"345",0,1,0,0,0,0,0,0,0,0,0
"517",0,2,2,2,2,2,2,2,2,2,2
"225",1,0,2,2,2,2,2,2,2,2,2
"142",0,0,1,2,2,2,2,1,1,1,1
"346",0,1,2,0,0,0,0,0,0,0,0
"420",1,1,1,0,2,0,0,0,0,0,0
"143",0,0,1,2,2,2,2,1,1,1,1
"347",0,1,0,0,0,0,0,0,0,0,0
"144",0,0,0,2,2,2,2,1,1,1,1
"518",0,2,2,2,2,2,2,2,2,2,2
"145",0,0,0,2,2,2,2,1,1,1,1
"146",0,0,1,2,2,2,2,1,1,1,1
"421",1,1,0,0,2,0,0,0,0,0,0
"226",1,0,1,2,2,2,2,2,2,2,2
"348",0,1,0,0,0,0,0,0,0,0,0
"227",1,0,2,2,2,2,2,2,2,2,2
"422",1,1,1,0,2,0,0,0,0,0,0
"147",0,0,2,2,2,2,2,1,1,1,1
"349",0,1,0,0,0,0,0,0,0,0,0
"148",0,0,1,2,2,2,2,1,1,1,1
"228",1,0,0,2,2,2,2,2,2,2,2
"149",0,0,1,2,2,2,2,1,1,1,1
"229",1,0,1,2,2,2,2,2,2,2,2
"150",0,0,1,2,2,2,2,1,1,1,1
"230",1,0,0,2,2,2,2,2,2,2,2
"151",0,0,1,2,2,2,2,1,1,1,1
"231",1,0,0,2,2,2,2,2,2,2,2
"350",0,1,0,0,0,0,0,0,0,0,0
"232",1,0,0,2,2,2,2,2,2,2,2
"152",0,0,1,2,2,2,2,1,1,1,1
"233",1,0,2,2,2,2,2,2,2,2,2
"234",1,0,0,2,2,2,2,2,2,2,2
"153",0,0,1,2,2,2,2,1,1,1,1
"235",1,0,2,2,2,2,2,2,2,2,2
"154",0,0,1,2,2,2,2,1,1,1,1
"155",0,0,0,2,2,2,2,1,1,1,1
"351",0,1,2,0,0,0,0,0,0,0,0
"156",0,0,0,2,2,2,2,1,1,1,1
"157",0,0,1,2,2,2,2,1,1,1,1
"158",0,0,1,2,2,2,2,1,1,1,1
"352",0,1,2,0,0,0,0,0,0,0,0
"353",0,1,0,0,0,0,0,0,0,0,0
"236",1,0,2,2,2,2,2,2,2,2,2
"159",0,0,1,2,2,2,2,1,1,1,1
"237",1,0,2,2,2,2,2,2,2,2,2
"354",0,1,0,0,0,0,0,0,0,0,0
"355",0,1,2,0,0,0,0,0,0,0,0
"423",1,1,0,0,2,0,0,0,0,0,0
"356",0,1,0,0,0,0,0,0,0,0,0
"357",0,1,2,0,0,0,0,0,0,0,0
"358",0,1,2,0,0,0,0,0,0,0,0
"160",0,0,1,2,2,2,2,1,1,1,1
"359",0,1,0,0,0,0,0,0,0,0,0
"238",1,0,2,2,2,2,2,2,2,2,2
"239",1,0,2,2,2,2,2,2,2,2,2
"360",0,1,0,0,0,0,0,0,0,0,0
"361",0,1,0,0,0,0,0,0,0,0,0
"240",1,0,1,2,2,2,2,2,2,2,2
"241",1,0,2,2,2,2,2,2,2,2,2
"362",0,1,0,0,0,0,0,0,0,0,0
"67",1,2,0,2,2,2,2,2,2,2,2
"363",0,1,0,0,0,0,0,0,0,0,0
"519",0,2,2,2,2,2,2,2,2,2,2
"364",0,1,0,0,0,0,0,0,0,0,0
"365",0,1,0,0,0,0,0,0,0,0,0
"161",0,0,1,2,2,2,2,1,1,1,1
"162",0,0,1,2,2,2,2,1,1,1,1
"366",0,1,1,0,0,0,0,0,0,0,0
"367",0,1,0,0,0,0,0,0,0,0,0
"368",0,1,1,0,0,0,0,0,0,0,0
"163",0,0,1,2,2,2,2,1,1,1,1
"424",1,1,0,0,2,0,0,0,0,0,0
"164",0,0,0,2,2,2,2,1,1,1,1
"242",1,0,2,2,2,2,2,2,2,2,2
"369",0,1,0,0,0,0,0,0,0,0,0
"165",0,0,0,2,2,2,2,1,1,1,1
"166",0,0,0,2,2,2,2,1,1,1,1
"425",1,1,0,0,2,0,0,0,0,0,0
"167",0,0,0,2,2,2,2,1,1,1,1
"426",1,1,0,0,2,0,0,0,0,0,0
"520",0,2,1,2,2,2,2,2,2,2,2
"168",0,0,1,2,2,2,2,1,1,1,1
"169",0,0,1,2,2,2,2,1,1,1,1
"370",0,1,0,0,0,0,0,0,0,0,0
"170",0,0,1,2,2,2,2,1,1,1,1
"371",0,1,0,0,0,0,0,0,0,0,0
"171",0,0,0,2,2,2,2,1,1,1,1
"243",1,0,2,2,2,2,2,2,2,2,2
"521",0,2,2,2,2,2,2,2,2,2,2
"372",0,1,0,0,0,0,0,0,0,0,0
"244",1,0,0,2,2,2,2,2,2,2,2
"373",0,1,2,0,0,0,0,0,0,0,0
"245",1,0,2,2,2,2,2,2,2,2,2
"172",0,0,0,2,2,2,2,1,1,1,1
"374",0,1,2,0,0,0,0,0,0,0,0
"375",0,1,0,0,0,0,0,0,0,0,0
"246",1,0,0,2,2,2,2,2,2,2,2
"522",0,2,2,2,2,2,2,2,2,2,2
"376",0,1,2,0,0,0,0,0,0,0,0
"173",0,0,0,2,2,2,2,1,1,1,1
"174",0,0,1,2,2,2,2,1,1,1,1
"377",0,1,0,0,0,0,0,0,0,0,0
"175",0,0,1,2,2,2,2,1,1,1,1
"176",0,0,0,2,2,2,2,1,1,1,1
"247",1,0,1,2,2,2,2,2,2,2,2
"177",0,0,0,2,2,2,2,1,1,1,1
"248",1,0,2,2,2,2,2,2,2,2,2
"427",1,1,1,0,2,0,0,0,0,0,0
"378",0,1,0,0,0,0,0,0,0,0,0
"178",0,0,2,2,2,2,2,1,1,1,1
"179",0,0,1,2,2,2,2,1,1,1,1
"523",0,2,2,2,2,2,2,2,2,2,2
"68",1,2,0,2,2,2,2,2,2,2,2
"379",0,1,0,0,0,0,0,0,0,0,0
"180",0,0,1,2,2,2,2,1,1,1,1
"181",0,0,1,2,2,2,2,1,1,1,1
"249",1,0,2,2,2,2,2,2,2,2,2
"182",0,0,1,2,2,2,2,1,1,1,1
"250",1,0,0,2,2,2,2,2,2,2,2
"183",0,0,1,2,2,2,2,1,1,1,1
"380",0,1,0,0,0,0,0,0,0,0,0
"524",0,2,1,2,2,2,2,2,2,2,2
"251",1,0,1,2,2,2,2,2,2,2,2
"428",1,1,0,0,2,0,0,0,0,0,0
"525",0,2,2,2,2,2,2,2,2,2,2
"381",0,1,0,0,0,0,0,0,0,0,0
"382",0,1,0,0,0,0,0,0,0,0,0
"383",0,1,0,0,0,0,0,0,0,0,0
"429",1,1,1,0,2,0,0,0,0,0,0
"526",0,2,2,2,2,2,2,2,2,2,2
"384",0,1,2,0,0,0,0,0,0,0,0
"385",0,1,0,0,0,0,0,0,0,0,0
"252",1,0,2,2,2,2,2,2,2,2,2
"184",0,0,0,2,2,2,2,1,1,1,1
"386",0,1,0,0,0,0,0,0,0,0,0
"253",1,0,2,2,2,2,2,2,2,2,2
"387",0,1,1,0,0,0,0,0,0,0,0
"388",0,1,0,0,0,0,0,0,0,0,0
"185",0,0,1,2,2,2,2,1,1,1,1
"186",0,0,1,2,2,2,2,1,1,1,1
"430",1,1,0,0,2,0,0,0,0,0,0
"187",0,0,0,2,2,2,2,1,1,1,1
"389",0,1,0,0,0,0,0,0,0,0,0
"188",0,0,0,2,2,2,2,1,1,1,1
"390",0,1,0,0,0,0,0,0,0,0,0
"391",0,1,0,0,0,0,0,0,0,0,0
"189",0,0,1,2,2,2,2,1,1,1,1
"254",1,0,2,2,2,2,2,2,2,2,2
"255",1,0,2,2,2,2,2,2,2,2,2
"190",0,0,2,2,2,2,2,1,1,1,1
"191",0,0,1,2,2,2,2,1,1,1,1
"392",0,1,2,0,0,0,0,0,0,0,0
"393",0,1,0,0,0,0,0,0,0,0,0
"192",0,0,1,2,2,2,2,1,1,1,1
"431",1,1,0,0,2,0,0,0,0,0,0
"256",1,0,2,2,2,2,2,2,2,2,2
"257",1,0,2,2,2,2,2,2,2,2,2
"394",0,1,0,0,0,0,0,0,0,0,0
"395",0,1,0,0,0,0,0,0,0,0,0
"69",1,2,0,2,2,2,2,2,2,2,2
"193",0,0,1,2,2,2,2,1,1,1,1
"432",1,1,0,0,2,0,0,0,0,0,0
"396",0,1,2,0,0,0,0,0,0,0,0
"258",1,0,0,2,2,2,2,2,2,2,2
"259",1,0,2,2,2,2,2,2,2,2,2
"260",1,0,2,2,2,2,2,2,2,2,2
"194",0,0,2,2,2,2,2,1,1,1,1
"261",1,0,2,2,2,2,2,2,2,2,2
"397",0,1,0,0,0,0,0,0,0,0,0
"262",1,0,2,2,2,2,2,2,2,2,2
"398",0,1,0,0,0,0,0,0,0,0,0
"195",0,0,1,2,2,2,2,1,1,1,1
"196",0,0,1,2,2,2,2,1,1,1,1
"197",0,0,1,2,2,2,2,1,1,1,1
"198",0,0,1,2,2,2,2,1,1,1,1
"527",0,2,2,2,2,2,2,2,2,2,2
"199",0,0,2,2,2,2,2,1,1,1,1
"263",1,0,2,2,2,2,2,2,2,2,2
"399",0,1,0,0,0,0,0,0,0,0,0
"264",1,0,0,2,2,2,2,2,2,2,2
"265",1,0,2,2,2,2,2,2,2,2,2
"1100",0,0,0,2,2,2,2,1,1,1,1
"1101",0,0,0,2,2,2,2,1,1,1,1
"528",0,2,2,2,2,2,2,2,2,2,2
"266",1,0,2,2,2,2,2,2,2,2,2
"610",1,2,0,2,2,2,2,2,2,2,2
"3100",0,1,0,0,0,0,0,0,0,0,0
"1102",0,0,1,2,2,2,2,1,1,1,1
"1103",0,0,1,2,2,2,2,1,1,1,1
"611",1,2,0,2,2,2,2,2,2,2,2
"1104",0,0,1,2,2,2,2,1,1,1,1
"267",1,0,1,2,2,2,2,2,2,2,2
"433",1,1,1,0,2,0,0,0,0,0,0
"612",1,2,0,2,2,2,2,2,2,2,2
"1105",0,0,1,2,2,2,2,1,1,1,1
"529",0,2,2,2,2,2,2,2,2,2,2
"1106",0,0,0,2,2,2,2,1,1,1,1
"268",1,0,2,2,2,2,2,2,2,2,2
"530",0,2,1,2,2,2,2,2,2,2,2
"3101",0,1,2,0,0,0,0,0,0,0,0
"1107",0,0,1,2,2,2,2,1,1,1,1
"1108",0,0,1,2,2,2,2,1,1,1,1
"3102",0,1,0,0,0,0,0,0,0,0,0
"269",1,0,1,2,2,2,2,2,2,2,2
"1109",0,0,0,2,2,2,2,1,1,1,1
"434",1,1,0,0,2,0,0,0,0,0,0
"3103",0,1,0,0,0,0,0,0,0,0,0
"1110",0,0,1,2,2,2,2,1,1,1,1
"3104",0,1,0,0,0,0,0,0,0,0,0
"1111",0,0,0,2,2,2,2,1,1,1,1
"270",1,0,2,2,2,2,2,2,2,2,2
"3105",0,1,0,0,0,0,0,0,0,0,0
"531",0,2,2,2,2,2,2,2,2,2,2
"435",1,1,0,0,2,0,0,0,0,0,0
"3106",0,1,0,0,0,0,0,0,0,0,0
"3107",0,1,0,0,0,0,0,0,0,0,0
"271",1,0,2,2,2,2,2,2,2,2,2
"436",1,1,0,0,2,0,0,0,0,0,0
"3108",0,1,2,0,0,0,0,0,0,0,0
"1112",0,0,1,2,2,2,2,1,1,1,1
"272",1,0,1,2,2,2,2,2,2,2,2
"532",0,2,1,2,2,2,2,2,2,2,2
"273",1,0,2,2,2,2,2,2,2,2,2
"1113",0,0,1,2,2,2,2,1,1,1,1
"3109",0,1,0,0,0,0,0,0,0,0,0
"613",1,2,0,2,2,2,2,2,2,2,2
"274",1,0,0,2,2,2,2,2,2,2,2
"533",0,2,2,2,2,2,2,2,2,2,2
"1114",0,0,0,2,2,2,2,1,1,1,1
"3110",0,1,0,0,0,0,0,0,0,0,0
"1115",0,0,1,2,2,2,2,1,1,1,1
"275",1,0,2,2,2,2,2,2,2,2,2
"3111",0,1,2,0,0,0,0,0,0,0,0
"3112",0,1,2,0,0,0,0,0,0,0,0
"3113",0,1,2,0,0,0,0,0,0,0,0
"276",1,0,2,2,2,2,2,2,2,2,2
"3114",0,1,0,0,0,0,0,0,0,0,0
"437",1,1,1,0,2,0,0,0,0,0,0
"3115",0,1,0,0,0,0,0,0,0,0,0
"277",1,0,2,2,2,2,2,2,2,2,2
"3116",0,1,2,0,0,0,0,0,0,0,0
"3117",0,1,0,0,0,0,0,0,0,0,0
"1116",0,0,1,2,2,2,2,1,1,1,1
"438",1,1,1,0,2,0,0,0,0,0,0
"3118",0,1,0,0,0,0,0,0,0,0,0
"3119",0,1,1,0,0,0,0,0,0,0,0
"278",1,0,2,2,2,2,2,2,2,2,2
"1117",0,0,1,2,2,2,2,1,1,1,1
"1118",0,0,0,2,2,2,2,1,1,1,1
"279",1,0,1,2,2,2,2,2,2,2,2
"3120",0,1,0,0,0,0,0,0,0,0,0
"3121",0,1,2,0,0,0,0,0,0,0,0
"280",1,0,0,2,2,2,2,2,2,2,2
"3122",0,1,0,0,0,0,0,0,0,0,0
"281",1,0,2,2,2,2,2,2,2,2,2
"1119",0,0,0,2,2,2,2,1,1,1,1
"439",1,1,0,0,2,0,0,0,0,0,0
"282",1,0,0,2,2,2,2,2,2,2,2
"1120",0,0,1,2,2,2,2,1,1,1,1
"1121",0,0,0,2,2,2,2,1,1,1,1
"3123",0,1,2,0,0,0,0,0,0,0,0
"1122",0,0,1,2,2,2,2,1,1,1,1
"283",1,0,2,2,2,2,2,2,2,2,2
"3124",0,1,0,0,0,0,0,0,0,0,0
"440",1,1,0,0,2,0,0,0,0,0,0
"3125",0,1,0,0,0,0,0,0,0,0,0
"3126",0,1,1,0,0,0,0,0,0,0,0
"3127",0,1,0,0,0,0,0,0,0,0,0
"3128",0,1,0,0,0,0,0,0,0,0,0
"284",1,0,2,2,2,2,2,2,2,2,2
"534",0,2,1,2,2,2,2,2,2,2,2
"1123",0,0,1,2,2,2,2,1,1,1,1
"3129",0,1,1,0,0,0,0,0,0,0,0
"285",1,0,2,2,2,2,2,2,2,2,2
"286",1,0,1,2,2,2,2,2,2,2,2
"614",1,2,0,2,2,2,2,2,2,2,2
"535",0,2,2,2,2,2,2,2,2,2,2
"1124",0,0,1,2,2,2,2,1,1,1,1
"441",1,1,0,0,2,0,0,0,0,0,0
"615",1,2,0,2,2,2,2,2,2,2,2
"536",0,2,1,2,2,2,2,2,2,2,2
"3130",0,1,0,0,0,0,0,0,0,0,0
"287",1,0,2,2,2,2,2,2,2,2,2
"3131",0,1,2,0,0,0,0,0,0,0,0
"537",0,2,2,2,2,2,2,2,2,2,2
"538",0,2,2,2,2,2,2,2,2,2,2
"3132",0,1,2,0,0,0,0,0,0,0,0
"539",0,2,2,2,2,2,2,2,2,2,2
"1125",0,0,1,2,2,2,2,1,1,1,1
"288",1,0,1,2,2,2,2,2,2,2,2
"3133",0,1,0,0,0,0,0,0,0,0,0
"540",0,2,1,2,2,2,2,2,2,2,2
"442",1,1,1,0,2,0,0,0,0,0,0
"1126",0,0,1,2,2,2,2,1,1,1,1
"541",0,2,2,2,2,2,2,2,2,2,2
"289",1,0,0,2,2,2,2,2,2,2,2
"1127",0,0,1,2,2,2,2,1,1,1,1
"1128",0,0,0,2,2,2,2,1,1,1,1
"3134",0,1,0,0,0,0,0,0,0,0,0
"1129",0,0,2,2,2,2,2,1,1,1,1
"1130",0,0,1,2,2,2,2,1,1,1,1
"3135",0,1,0,0,0,0,0,0,0,0,0
"3136",0,1,0,0,0,0,0,0,0,0,0
"290",1,0,0,2,2,2,2,2,2,2,2
"291",1,0,1,2,2,2,2,2,2,2,2
"1131",0,0,1,2,2,2,2,1,1,1,1
"3137",0,1,0,0,0,0,0,0,0,0,0
"1132",0,0,0,2,2,2,2,1,1,1,1
"3138",0,1,0,0,0,0,0,0,0,0,0
"292",1,0,0,2,2,2,2,2,2,2,2
"3139",0,1,0,0,0,0,0,0,0,0,0
"3140",0,1,2,0,0,0,0,0,0,0,0
"3141",0,1,2,0,0,0,0,0,0,0,0
"1133",0,0,1,2,2,2,2,1,1,1,1
"3142",0,1,2,0,0,0,0,0,0,0,0
"1134",0,0,0,2,2,2,2,1,1,1,1
"443",1,1,1,0,2,0,0,0,0,0,0
"3143",0,1,2,0,0,0,0,0,0,0,0
"3144",0,1,0,0,0,0,0,0,0,0,0
"1135",0,0,0,2,2,2,2,1,1,1,1
"293",1,0,0,2,2,2,2,2,2,2,2
"444",1,1,0,0,2,0,0,0,0,0,0
"3145",0,1,0,0,0,0,0,0,0,0,0
"542",0,2,1,2,2,2,2,2,2,2,2
"3146",0,1,0,0,0,0,0,0,0,0,0
"1136",0,0,0,2,2,2,2,1,1,1,1
"294",1,0,2,2,2,2,2,2,2,2,2
"1137",0,0,1,2,2,2,2,1,1,1,1
"3147",0,1,1,0,0,0,0,0,0,0,0
"295",1,0,2,2,2,2,2,2,2,2,2
"3148",0,1,0,0,0,0,0,0,0,0,0
"296",1,0,2,2,2,2,2,2,2,2,2
"297",1,0,0,2,2,2,2,2,2,2,2
"3149",0,1,2,0,0,0,0,0,0,0,0
"543",0,2,2,2,2,2,2,2,2,2,2
"298",1,0,2,2,2,2,2,2,2,2,2
"3150",0,1,0,0,0,0,0,0,0,0,0
"1138",0,0,1,2,2,2,2,1,1,1,1
"3151",0,1,0,0,0,0,0,0,0,0,0
"299",1,0,2,2,2,2,2,2,2,2,2
"1139",0,0,1,2,2,2,2,1,1,1,1
"2100",1,0,2,2,2,2,2,2,2,2,2
"445",1,1,0,0,2,0,0,0,0,0,0
"2101",1,0,2,2,2,2,2,2,2,2,2
"1140",0,0,2,2,2,2,2,1,1,1,1
"1141",0,0,0,2,2,2,2,1,1,1,1
"1142",0,0,1,2,2,2,2,1,1,1,1
"3152",0,1,0,0,0,0,0,0,0,0,0
"616",1,2,0,2,2,2,2,2,2,2,2
"2102",1,0,2,2,2,2,2,2,2,2,2
"617",1,2,0,2,2,2,2,2,2,2,2
"3153",0,1,0,0,0,0,0,0,0,0,0
"2103",1,0,2,2,2,2,2,2,2,2,2
"618",1,2,0,2,2,2,2,2,2,2,2
"3154",0,1,0,0,0,0,0,0,0,0,0
"544",0,2,1,2,2,2,2,2,2,2,2
"3155",0,1,0,0,0,0,0,0,0,0,0
"1143",0,0,0,2,2,2,2,1,1,1,1
"3156",0,1,0,0,0,0,0,0,0,0,0
"1144",0,0,1,2,2,2,2,1,1,1,1
"2104",1,0,2,2,2,2,2,2,2,2,2
"619",1,2,0,2,2,2,2,2,2,2,2
"545",0,2,2,2,2,2,2,2,2,2,2
"1145",0,0,1,2,2,2,2,1,1,1,1
"3157",0,1,0,0,0,0,0,0,0,0,0
"3158",0,1,0,0,0,0,0,0,0,0,0
"3159",0,1,0,0,0,0,0,0,0,0,0
"546",0,2,2,2,2,2,2,2,2,2,2
"1146",0,0,0,2,2,2,2,1,1,1,1
"547",0,2,2,2,2,2,2,2,2,2,2
"3160",0,1,2,0,0,0,0,0,0,0,0
"1147",0,0,0,2,2,2,2,1,1,1,1
"548",0,2,2,2,2,2,2,2,2,2,2
"3161",0,1,2,0,0,0,0,0,0,0,0
"446",1,1,1,0,2,0,0,0,0,0,0
"1148",0,0,0,2,2,2,2,1,1,1,1
"1149",0,0,0,2,2,2,2,1,1,1,1
"447",1,1,0,0,2,0,0,0,0,0,0
"2105",1,0,2,2,2,2,2,2,2,2,2
"549",0,2,2,2,2,2,2,2,2,2,2
"1150",0,0,1,2,2,2,2,1,1,1,1
"2106",1,0,1,2,2,2,2,2,2,2,2
"1151",0,0,1,2,2,2,2,1,1,1,1
"1152",0,0,1,2,2,2,2,1,1,1,1
"550",0,2,2,2,2,2,2,2,2,2,2
"3162",0,1,0,0,0,0,0,0,0,0,0
"3163",0,1,0,0,0,0,0,0,0,0,0
"448",1,1,0,0,2,0,0,0,0,0,0
"2107",1,0,2,2,2,2,2,2,2,2,2
"2108",1,0,2,2,2,2,2,2,2,2,2
"1153",0,0,1,2,2,2,2,1,1,1,1
"1154",0,0,1,2,2,2,2,1,1,1,1
"551",0,2,2,2,2,2,2,2,2,2,2
"3164",0,1,0,0,0,0,0,0,0,0,0
"2109",1,0,2,2,2,2,2,2,2,2,2
